partner1	partner2	confidence
FLNC	MAP2K4	1.0
ACTN2	MYPN	1.0
ACVR1	FNTA	1.0
GATA2	PML	1.0
RPA2	STAT3	1.0
ARF1	GGA3	1.0
ARF3	ARFIP2	1.0
ARF3	ARFIP1	1.0
APP	APPBP2	1.0
CITED2	TFAP2A	1.0
EP300	TFAP2A	1.0
APOB	MTTP	1.0
ARRB2	RALGDS	1.0
CSF1R	GRB2	1.0
GRB2	PRRC2A	1.0
SLC4A1	SLC4A1AP	1.0
BARD1	BCL3	1.0
ADRB1	GIPC1	1.0
ATF1	BRCA1	1.0
BRCA1	MSH2	1.0
BARD1	BRCA1	1.0
BRCA1	MSH6	1.0
ARVCF	CDH15	1.0
CACNA1C	PCBD1	1.0
CAPN1	PSEN2	1.0
CAPN3	TTN	1.0
CA8	ITPR1	1.0
CTNNB1	MAGI1	1.0
CUX1	RB1	1.0
CDKN1A	TSG101	1.0
AKAP8	MCM2	1.0
CDC25A	YWHAZ	1.0
CDC42	DOCK8	1.0
CDC42	TRIP10	1.0
CDK2	CDKN3	1.0
RBBP8	RBL1	1.0
CENPB	HAND2	1.0
CLTC	HGS	1.0
COL1A1	IGFBP3	1.0
COL1A1	TXN	1.0
ATF2	SMAD3	1.0
ATF2	SMAD4	1.0
CCND3	EIF3K	1.0
CCNB1	RALBP1	1.0
CAMLG	PPIB	1.0
CSK	INSR	1.0
CSK	IGF1R	1.0
DCN	EGFR	1.0
ARNT	SIM2	1.0
ARNT	SIM1	1.0
ARNT	NPAS4	1.0
HBEGF	ZBTB16	1.0
GADD45A	PCNA	1.0
TOP2B	TOPBP1	1.0
DRD3	FLNA	1.0
EGR1	EP300	1.0
CREBBP	EGR1	1.0
EPB41	NUMA1	1.0
EEF1A1	PLCG1	1.0
EEF1D	KTN1	1.0
ANXA5	KDR	1.0
ESR1	PPARGC1B	1.0
ESR1	SMARCA4	1.0
DDX54	ESR1	1.0
DNTTIP2	ESR1	1.0
FDPS	FGFR1	1.0
FNTA	TGFB1	1.0
FAS	SUMO1	1.0
FGA	PRRC2A	1.0
FLNA	ITGB1	1.0
FGFR1	FRS3	1.0
GABARAP	GABRG2	1.0
NR3C1	SFN	1.0
NR3C1	TGFB1I1	1.0
ECD	NR3C1	1.0
GCK	PFKFB2	1.0
DPH1	HSPA5	1.0
KPNA2	SLC2A2	1.0
GRIK2	SDCBP	1.0
GRIK2	PICK1	1.0
GRIK1	PICK1	1.0
GRIK1	SDCBP	1.0
CCNT1	GRN	1.0
GNAZ	RGS19	1.0
GNAO1	RGS19	1.0
GNAI2	RGS19	1.0
GNAI3	RGS19	1.0
HSF2	UBE2I	1.0
LIMK1	NRG1	1.0
FGF7	HSPG2	1.0
MAD2L2	PRRC2A	1.0
P4HA2	PRRC2A	1.0
CCR10	PRRC2A	1.0
C1QBP	PRRC2A	1.0
EIF3E	PRRC2A	1.0
GANAB	PRRC2A	1.0
HNRNPA1	PRRC2A	1.0
PRRC2A	PSMA3	1.0
HNRNPM	PRRC2A	1.0
PRRC2A	SSR3	1.0
DDX20	PRRC2A	1.0
PRRC2A	UBAP2L	1.0
IMMT	PRRC2A	1.0
CPSF1	PRRC2A	1.0
PRMT2	PRRC2A	1.0
PRRC2A	QARS	1.0
IFT88	PRRC2A	1.0
HTT	SETD2	1.0
HAP1	HTT	1.0
HTT	ZDHHC17	1.0
HTT	TRIP10	1.0
MEF2D	YWHAQ	1.0
HAND2	TCF3	1.0
ID3	TCF3	1.0
IGF1R	IRS1	1.0
IGF1R	YWHAE	1.0
IGF1R	SOCS1	1.0
IRS1	PTK2	1.0
IRS1	MAPK8	1.0
INSR	IRS1	1.0
IL1A	NDN	1.0
JAK2	PRMT5	1.0
JAK2	SOCS1	1.0
BYSL	KRT8	1.0
CBL	KRT18	1.0
DNAJB6	KRT18	1.0
LMNA	LMNB1	1.0
LMNA	SREBF1	1.0
LMNA	NARF	1.0
BCL2	BNIPL	1.0
BCL2	BNIP2	1.0
BCL2	SMN1	1.0
BCL2	TP53BP2	1.0
BCL2	RTN4	1.0
BCL2	BECN1	1.0
LYL1	NFKB1	1.0
PTPRC	SKAP1	1.0
VAV1	XRCC6	1.0
NCF4	XRCC6	1.0
XRCC5	XRCC6	1.0
LEF1	PIAS4	1.0
LEF1	MITF	1.0
SRSF9	YBX1	1.0
ATRNL1	MC4R	1.0
ATF7IP	MBD1	1.0
CHAF1A	MBD1	1.0
MITF	PIAS3	1.0
MITF	PATZ1	1.0
MITF	UBE2I	1.0
ANP32A	MAP1B	1.0
MCM7	RB1	1.0
FHL2	MCM7	1.0
KMT2A	PPIE	1.0
KMT2A	PPP1R15A	1.0
MYPN	NEB	1.0
NGFR	PRKACB	1.0
SNCA	SNCAIP	1.0
EPB41L1	NUMA1	1.0
MAP3K8	NFKB1	1.0
FOS	RELA	1.0
PIAS3	RELA	1.0
RELA	RNF25	1.0
PPP1R13L	RELA	1.0
FEN1	HNRNPA1	1.0
MCRS1	NOP2	1.0
DAXX	ETS1	1.0
AKT2	APPL1	1.0
CTTN	WIPF1	1.0
CSF1R	SOCS1	1.0
SKI	SNW1	1.0
GLMN	MET	1.0
FOXG1	KDM5B	1.0
EZH2	VAV1	1.0
PPP4C	REL	1.0
FLT1	SHC1	1.0
GPRASP1	OPRD1	1.0
CBL	MYO1C	1.0
PAX5	TLE4	1.0
KDM5B	PAX9	1.0
KALRN	PAM	1.0
NRBF2	PPARA	1.0
PIK3CA	PIK3R3	1.0
APOA1	PDE1A	1.0
SELP	SNX17	1.0
PKD1	PKD2	1.0
PKD2	TRPC1	1.0
DLG1	KCNA4	1.0
FHOD1	PFN2	1.0
HUS1	PCNA	1.0
MAGI3	PTPRB	1.0
PRKAR1A	PRKAR1B	1.0
AKAP1	PRKAR1B	1.0
FER	TMF1	1.0
MAPK1	NEK2	1.0
PDPK1	PRKCZ	1.0
PRKCZ	WWC1	1.0
EP300	MAF	1.0
ARHGDIG	RHOG	1.0
CD2AP	RAB4A	1.0
RAB5A	RABEP1	1.0
KRIT1	RAP1A	1.0
EXOC8	RALA	1.0
BRCA2	RAD51	1.0
RAD51	RAD51AP1	1.0
DMC1	RAD51	1.0
HBP1	RB1	1.0
AATF	RB1	1.0
RB1	THOC1	1.0
HBP1	RBL2	1.0
BRD8	RXRA	1.0
NRBF2	RXRA	1.0
ANK1	RHAG	1.0
KDM5A	LMO2	1.0
LMO2	TAL1	1.0
RPLP1	RPLP2	1.0
ARFRP1	CYTH1	1.0
SNRPB	TOP3B	1.0
PDZK1	SLC9A3	1.0
PDZK1	SLC17A1	1.0
ANK1	OBSCN	1.0
NR5A1	SOX9	1.0
NR5A1	NRIP1	1.0
CLU	TGFBR2	1.0
STX1A	UNC13B	1.0
CD27	SIVA1	1.0
FKBP1A	TGFBR1	1.0
FKBP1A	YY1	1.0
ARFGEF1	FKBP2	1.0
NCAPG2	TAL1	1.0
NCF4	TXN	1.0
AKAP1	PRKAR1A	1.0
MYO7A	PRKAR1A	1.0
AKAP10	PRKAR1A	1.0
TCAP	TTN	1.0
CEBPZ	NFYB	1.0
DRAP1	ZEB1	1.0
KAT5	ZEB1	1.0
E2F1	NDN	1.0
ABL1	ATM	1.0
ABL1	NTRK1	1.0
FES	HSH2D	1.0
EPHB2	SRC	1.0
TGFBR1	TGFBR2	1.0
TNNC1	TNNT1	1.0
TAX1BP1	TNFAIP3	1.0
TP53	WWOX	1.0
CDC14A	TP53	1.0
PSMD2	TNFRSF1A	1.0
DDR2	SHC1	1.0
CDH1	CTNND1	1.0
CBLL1	CDH1	1.0
BIN1	ITGA1	1.0
EED	ITGA4	1.0
FLI1	GATA1	1.0
FLNA	VHL	1.0
VBP1	VHL	1.0
JADE1	VHL	1.0
